tracker_key,alpha,beta,max_age,min_hits,max_match_cost,conf_threshold,always_eiou,use_ambiguity_gate,use_eiou_on_ambiguous,use_relation_prior,ambiguity_weak_cost,ambiguity_margin,ambiguity_radius,ambiguity_min_neighbors,eiou_alpha,lambda_eiou,lambda_rel,rel_k,rel_radius,rel_norm_px,HOTA,DetA,AssA,DetRe,DetPr,AssRe,AssPr,LocA,OWTA,HOTA(0),LocA(0),HOTALocA(0),MOTA,MOTP,MODA,CLR_Re,CLR_Pr,MTR,PTR,MLR,CLR_TP,CLR_FN,CLR_FP,IDSW,MT,PT,ML,Frag,sMOTA,IDF1,IDR,IDP,IDTP,IDFN,IDFP,Dets,GT_Dets,IDs,GT_IDs,summary_unique_ids,summary_short_tracks,summary_mean_track_len,debug_ambiguity_rate,debug_ambiguous_match_rate,debug_relation_rows
default,1.0,0.2,30,3,0.9,0.0,False,True,True,True,0.55,0.08,70.0,2,0.5,0.35,0.25,3,120.0,80.0,79.085,94.923,65.89,95.004,99.91,66.219,98.712,99.951,79.119,79.162,99.908,79.09,94.336,99.994,95.089,95.089,100.0,88.571,10.952,0.47619,82839.0,4278.0,0.0,656.0,186.0,23.0,1.0,632.0,94.331,74.046,72.228,75.958,62923.0,24194.0,19916.0,82839.0,87117.0,782.0,210.0,97.75,47.5,109.12345811697351,0.6369388289500234,0.2797707354482086,13101.375
margin_0p04,1.0,0.2,30,3,0.9,0.0,False,True,True,True,0.55,0.04,70.0,2,0.5,0.35,0.25,3,120.0,80.0,79.085,94.923,65.89,95.004,99.91,66.219,98.712,99.951,79.119,79.162,99.908,79.09,94.336,99.994,95.089,95.089,100.0,88.571,10.952,0.47619,82839.0,4278.0,0.0,656.0,186.0,23.0,1.0,632.0,94.331,74.046,72.228,75.958,62923.0,24194.0,19916.0,82839.0,87117.0,782.0,210.0,97.75,47.5,109.12345811697351,0.6369388289500234,0.2797707354482086,13101.375
margin_0p08,1.0,0.2,30,3,0.9,0.0,False,True,True,True,0.55,0.08,70.0,2,0.5,0.35,0.25,3,120.0,80.0,79.085,94.923,65.89,95.004,99.91,66.219,98.712,99.951,79.119,79.162,99.908,79.09,94.336,99.994,95.089,95.089,100.0,88.571,10.952,0.47619,82839.0,4278.0,0.0,656.0,186.0,23.0,1.0,632.0,94.331,74.046,72.228,75.958,62923.0,24194.0,19916.0,82839.0,87117.0,782.0,210.0,97.75,47.5,109.12345811697351,0.6369388289500234,0.2797707354482086,13101.375
margin_0p12,1.0,0.2,30,3,0.9,0.0,False,True,True,True,0.55,0.12,70.0,2,0.5,0.35,0.25,3,120.0,80.0,79.085,94.923,65.89,95.004,99.91,66.219,98.712,99.951,79.119,79.162,99.908,79.09,94.336,99.994,95.089,95.089,100.0,88.571,10.952,0.47619,82839.0,4278.0,0.0,656.0,186.0,23.0,1.0,632.0,94.331,74.046,72.228,75.958,62923.0,24194.0,19916.0,82839.0,87117.0,782.0,210.0,97.75,47.5,109.12345811697351,0.6369388289500234,0.2797707354482086,13101.375
margin_0p16,1.0,0.2,30,3,0.9,0.0,False,True,True,True,0.55,0.16,70.0,2,0.5,0.35,0.25,3,120.0,80.0,79.085,94.923,65.89,95.004,99.91,66.219,98.712,99.951,79.119,79.162,99.908,79.09,94.336,99.994,95.089,95.089,100.0,88.571,10.952,0.47619,82839.0,4278.0,0.0,656.0,186.0,23.0,1.0,632.0,94.331,74.046,72.228,75.958,62923.0,24194.0,19916.0,82839.0,87117.0,782.0,210.0,97.75,47.5,109.12345811697351,0.6369388289500234,0.2797707354482086,13101.375
weak_0p45,1.0,0.2,30,3,0.9,0.0,False,True,True,True,0.45,0.08,70.0,2,0.5,0.35,0.25,3,120.0,80.0,79.569,94.941,66.686,95.022,99.911,66.941,98.839,99.951,79.603,79.646,99.909,79.573,94.372,99.994,95.107,95.107,100.0,89.048,10.476,0.47619,82854.0,4263.0,0.0,640.0,187.0,22.0,1.0,615.0,94.366,74.493,72.67,76.409,63308.0,23809.0,19546.0,82854.0,87117.0,776.0,210.0,97.0,47.375,110.40376319784224,0.644583525475674,0.29428599222274815,13201.625
weak_0p55,1.0,0.2,30,3,0.9,0.0,False,True,True,True,0.55,0.08,70.0,2,0.5,0.35,0.25,3,120.0,80.0,79.085,94.923,65.89,95.004,99.91,66.219,98.712,99.951,79.119,79.162,99.908,79.09,94.336,99.994,95.089,95.089,100.0,88.571,10.952,0.47619,82839.0,4278.0,0.0,656.0,186.0,23.0,1.0,632.0,94.331,74.046,72.228,75.958,62923.0,24194.0,19916.0,82839.0,87117.0,782.0,210.0,97.75,47.5,109.12345811697351,0.6369388289500234,0.2797707354482086,13101.375
weak_0p65,1.0,0.2,30,3,0.9,0.0,False,True,True,True,0.65,0.08,70.0,2,0.5,0.35,0.25,3,120.0,80.0,79.99,95.024,67.334,95.105,99.911,67.57,98.962,99.951,80.024,80.066,99.909,79.993,94.459,99.994,95.19,95.19,100.0,89.524,10.0,0.47619,82927.0,4190.0,0.0,637.0,188.0,21.0,1.0,623.0,94.454,75.203,73.394,77.103,63939.0,23178.0,18988.0,82927.0,87117.0,753.0,210.0,94.125,43.875,112.67532559459659,0.6276311009349168,0.27165345112472394,12765.875
weak_0p75,1.0,0.2,30,3,0.9,0.0,False,True,True,True,0.75,0.08,70.0,2,0.5,0.35,0.25,3,120.0,80.0,81.419,95.895,69.127,95.992,99.895,69.332,99.172,99.964,81.46,81.532,99.898,81.448,95.42,99.993,96.093,96.093,100.0,92.857,6.6667,0.47619,83713.0,3404.0,0.0,586.0,195.0,14.0,1.0,573.0,95.413,76.471,74.977,78.026,65318.0,21799.0,18395.0,83713.0,87117.0,712.0,210.0,89.0,39.0,121.43756036938942,0.5780337265049587,0.268239284321609,10428.125
relw_0p0,1.0,0.2,30,3,0.9,0.0,False,True,True,False,0.55,0.08,70.0,2,0.5,0.35,0.0,3,120.0,80.0,81.201,95.672,68.919,95.761,99.903,69.194,98.734,99.95,81.239,81.295,99.902,81.215,95.169,99.992,95.854,95.854,100.0,91.429,8.0952,0.47619,83505.0,3612.0,0.0,597.0,192.0,17.0,1.0,567.0,95.16,76.418,74.834,78.071,65193.0,21924.0,18312.0,83505.0,87117.0,722.0,210.0,90.25,40.875,118.97894679204069,0.6055560511766052,0.2824313431804729,0.0
